 ,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,,2014,2015
French Polynesia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,..,..
Gabon,..,..,..,..,..,32.7,..,..,..,..,..,..,..,..,,..,..
"Gambia, The",..,..,..,..,..,..,..,..,..,..,..,..,..,..,,..,48.6
Georgia,..,..,32.6,33.2,32.6,33.2,34.7,38.8,34.9,34.9,37.3,34.1,30.0,26.2,,23.5,21.6
Germany,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,..,..
Ghana,..,..,..,..,..,31.9,..,..,..,..,..,..,24.2,..,,..,..
Gibraltar,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,..,..
Greece,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,..,..
Greenland,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,..,..
Grenada,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,..,..
Guam,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,..,..
Guatemala,56.0,..,..,..,..,..,51.0,..,..,..,..,53.7,..,..,,59.3,..
Guinea,..,..,55.4,..,..,..,..,53.0,..,..,..,..,55.2,..,,..,..
Guinea-Bissau,..,..,64.7,..,..,..,..,..,..,..,69.3,..,..,..,,..,..
Guyana,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,..,..
Haiti,..,..,..,..,..,..,..,..,..,..,..,..,58.5,..,,..,..
Honduras,..,63.7,64.8,65.1,64.7,63.7,59.9,58.2,59.2,58.8,60.0,61.9,66.5,64.5,,62.8,63.8
"Hong Kong SAR, China",..,..,..,..,..,..,..,..,..,..,..,..,..,..,,..,..
Hungary,..,..,..,..,13.5,15.9,12.3,12.4,12.4,12.3,14.1,14.3,15.0,15.0,,14.9,..
Iceland,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,..,..
India,..,..,..,..,37.2,..,..,..,..,29.8,..,21.9,..,..,,..,..
Indonesia,18.9,18.4,18.2,17.4,16.7,16.0,17.8,16.6,15.4,14.2,13.3,12.5,12.0,11.4,,11.3,11.2
"Iran, Islamic Rep.",..,..,..,..,..,..,..,..,..,..,..,..,..,..,,..,..
Iraq,..,..,..,..,..,..,22.4,..,..,..,..,..,18.9,..,,..,..
Ireland,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,..,..
Isle of Man,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,..,..
Israel,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,..,..
Italy,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,..,..
Jamaica,18.7,16.9,19.7,19.1,16.9,14.8,14.3,9.9,12.3,16.5,17.6,..,19.9,..,,..,..
Japan,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,..,..
Jordan,..,..,..,..,..,..,..,..,13.3,..,14.4,..,..,..,,..,..
Kazakhstan,..,46.7,44.5,37.5,33.9,31.6,18.2,12.7,12.1,8.2,6.5,5.5,3.8,2.9,,2.8,2.7
Kenya,..,..,..,..,..,46.8,..,..,..,..,..,..,..,..,,..,36.1
Kiribati,..,..,..,..,..,..,21.8,..,..,..,..,..,..,..,,..,..
"Korea, Dem. People’s Rep.",..,..,..,..,..,..,..,..,..,..,..,..,..,..,,..,..
"Korea, Rep.",..,..,..,..,..,..,..,..,..,..,..,..,..,..,,..,..
Kosovo,..,..,..,..,..,..,..,..,..,..,..,..,22.9,17.6,,21.1,17.6
Kuwait,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,..,..
Kyrgyz Republic,..,..,..,..,..,..,39.9,35.0,31.7,31.7,33.7,36.8,38.0,37.0,,30.6,32.1
Lao PDR,..,..,33.5,..,..,..,..,27.6,..,..,..,..,23.4,..,,..,..
Latvia,..,..,..,..,19.4,23.5,21.2,25.9,26.4,20.9,19.0,19.2,19.4,21.2,,22.5,..
Lebanon,..,..,..,..,..,..,..,..,..,..,..,..,27.4,..,,..,..
Lesotho,..,..,56.6,..,..,..,..,..,..,..,57.1,..,..,..,,..,..
Liberia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,54.1,..
Libya,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,..,..
Liechtenstein,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,..,..
Lithuania,..,..,..,..,20.5,20.0,19.1,20.9,20.3,20.5,19.2,18.6,20.6,19.1,,22.2,..
Luxembourg,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,..,..
"Macao SAR, China",..,..,..,..,..,..,..,..,..,..,..,..,..,..,,..,..
"Macedonia, FYR",..,..,..,..,..,..,..,..,..,..,27.0,26.8,26.2,24.2,,22.1,21.5
Madagascar,..,70.8,..,..,..,73.2,..,..,..,..,71.7,..,70.7,..,,..,..
Malawi,..,..,..,..,52.4,..,..,..,..,..,50.7,..,..,..,,..,..
Malaysia,..,..,5.1,..,5.7,..,3.6,..,3.8,..,..,1.7,..,0.6,,..,0.4
Maldives,..,..,23.0,..,..,..,..,..,..,15.7,..,..,..,..,,..,..
Mali,..,50.9,..,..,..,..,41.7,..,..,41.1,..,..,..,..,,..,..
Malta,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,..,..
Marshall Islands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,..,..
Mauritania,51.0,..,..,..,46.7,..,..,..,42.0,..,..,..,..,..,,31.0,..
Mauritius,..,..,..,..,..,..,..,..,..,..,..,..,7.9,..,,..,..
Mexico,..,..,..,..,..,..,..,..,44.4,..,46.1,..,45.5,..,,46.2,..
"Micronesia, Fed. Sts.",..,..,..,..,..,29.9,..,..,..,..,..,..,..,41.2,,..,..
Moldova,..,54.6,40.4,29.0,26.5,29.0,30.2,25.8,26.4,26.3,21.9,17.5,16.6,12.7,,11.4,9.6
Monaco,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,..,..
Mongolia,..,..,..,..,..,..,..,..,..,..,38.8,33.7,27.4,..,,21.6,..
Montenegro,..,..,..,..,..,11.2,11.3,8.0,4.9,6.8,6.6,9.3,11.3,8.6,,..,..
Morocco,15.3,..,..,..,..,..,..,8.9,..,..,..,..,..,4.8,,..,..
Mozambique,..,..,54.1,..,..,..,..,..,54.7,..,..,..,..,..,,46.1,..
Myanmar,..,..,..,..,..,48.2,..,..,..,..,42.4,..,..,..,,..,32.1
Namibia,..,..,..,37.7,..,..,..,..,..,28.7,..,..,..,..,,..,..
Nauru,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,..,..
Nepal,..,..,..,..,..,..,..,..,..,..,25.2,..,..,..,,..,..
Netherlands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,..,..
New Caledonia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,..,..
New Zealand,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,..,..
Nicaragua,..,45.8,..,..,..,48.3,..,..,..,42.5,..,..,..,..,,29.6,..
Niger,..,..,..,..,..,..,..,..,..,..,..,48.9,..,..,,44.5,..
Nigeria,..,..,..,48.4,..,..,..,..,..,46.0,..,..,..,..,,..,..
Northern Mariana Islands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,..,..
Norway,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,..,..
Oman,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,..,..
Pakistan,..,64.3,..,..,51.7,50.4,..,44.1,..,..,36.8,36.3,..,29.5,,..,24.3
Palau,..,..,..,..,..,..,24.9,..,..,..,..,..,..,..,,..,..
Panama,..,..,..,..,..,..,..,..,33.8,33.4,29.8,27.6,26.5,25.8,,25.6,23.0
Papua New Guinea,..,..,..,..,..,..,..,..,..,39.9,..,..,..,..,,..,..
Paraguay,..,..,57.7,51.4,48.8,44.9,48.9,45.3,43.2,41.6,39.0,37.0,31.4,28.0,,27.2,26.6
Peru,..,..,..,..,58.7,55.6,49.2,42.4,37.3,33.5,30.8,27.8,25.8,23.9,,22.7,21.8
Philippines,..,..,..,24.9,..,..,26.6,..,..,26.3,..,..,25.2,..,,..,21.6
Poland,14.8,15.6,16.6,..,20.5,19.1,17.3,16.9,17.1,17.6,17.7,17.1,17.3,17.0,,17.6,17.3
Portugal,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,..,..
Puerto Rico,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,..,..
Qatar,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,..,..
Romania,..,..,..,..,..,..,24.6,23.6,22.1,21.6,22.3,22.9,23.0,25.1,,25.4,25.3
Russian Federation,29.0,..,24.6,20.3,17.6,17.8,15.2,13.3,13.4,13.0,12.5,12.7,10.7,10.8,,11.2,13.3
Rwanda,58.9,..,..,..,..,56.7,..,..,..,..,46.0,..,..,39.1,,..,..
Samoa,..,..,..,..,..,..,..,..,26.9,..,..,..,..,..,,..,..
San Marino,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,..,..
Sao Tome and Principe,68.3,..,..,..,..,..,..,..,..,..,66.2,..,..,..,,..,..
Saudi Arabia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,..,..
Senegal,..,55.2,..,..,..,48.3,..,..,..,..,..,46.7,..,..,,..,..
Serbia,..,..,..,..,..,..,..,..,..,..,..,..,24.5,25.4,,25.4,25.5
Seychelles,..,..,..,..,..,..,..,..,..,..,..,..,..,39.3,,..,..
Sierra Leone,..,..,..,66.4,..,..,..,..,..,..,..,52.9,..,..,,..,..
Singapore,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,..,..
Sint Maarten (Dutch part),..,..,..,..,..,..,..,..,..,..,..,..,..,..,,..,..
Slovak Republic,..,..,..,..,13.3,11.6,10.6,10.9,11.0,12.0,13.0,13.2,12.8,12.6,,..,..
Slovenia,..,..,..,..,12.2,11.6,11.5,12.3,11.3,12.7,13.6,13.5,14.5,14.5,,14.3,..
Solomon Islands,..,..,..,..,..,22.7,..,..,..,..,..,..,..,12.7,,..,..
Somalia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,..,..
South Africa,..,..,..,..,..,66.6,..,..,62.1,..,53.2,..,..,..,,55.5,..
South Sudan,..,..,..,..,..,..,..,..,..,50.6,..,..,50.1,..,,55.1,65.6
Spain,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,..,..
Sri Lanka,..,..,22.7,..,..,..,15.2,..,..,8.9,..,..,6.7,..,,..,..
St. Kitts and Nevis,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,..,..
St. Lucia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,..,..
St. Martin (French part),..,..,..,..,..,..,..,..,..,..,..,..,..,..,,..,..
St. Vincent and the Grenadines,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,..,..
Sudan,..,..,..,..,..,..,..,..,..,46.5,..,..,..,..,,..,..
Suriname,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,..,..
Eswatini,..,69.0,..,..,..,..,..,..,..,63.0,..,..,..,..,,..,..
Sweden,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,..,..
Switzerland,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,..,..
Syrian Arab Republic,..,..,..,..,30.1,..,..,35.2,..,..,..,..,..,..,,..,..
Tajikistan,..,..,..,..,..,..,..,..,..,..,..,..,..,34.3,,32.0,31.3
Tanzania,..,..,..,..,..,..,..,..,..,..,..,28.2,..,..,,..,..
Thailand,42.3,..,32.4,..,26.8,..,21.9,20.0,20.4,17.9,16.4,13.2,12.6,10.9,,10.5,7.2
Timor-Leste,..,36.3,..,..,..,..,..,50.4,..,..,..,..,..,..,,41.8,..
Togo,..,..,..,..,..,..,61.7,..,..,..,..,58.7,..,..,,..,55.1
Tonga,..,16.2,..,..,..,..,..,..,..,22.5,..,..,..,..,,..,..
Trinidad and Tobago,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,..,..
Tunisia,25.4,..,..,..,..,23.1,..,..,..,..,20.5,..,..,..,,..,15.2
Turkey,..,..,30.3,23.8,20.9,16.4,13.3,8.4,6.8,4.3,3.7,2.8,2.3,2.1,,1.6,1.6
Turkmenistan,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,..,..
Turks and Caicos Islands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,..,..
Tuvalu,..,..,..,..,..,..,..,..,..,..,26.3,..,..,..,,..,..
Uganda,..,..,38.8,..,..,31.1,..,..,..,24.5,..,..,19.7,..,,..,..
Ukraine,..,..,83.3,76.2,65.6,55.3,49.7,12.7,7.1,5.8,8.6,7.8,9.0,8.3,,8.6,6.4
United Arab Emirates,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,..,..
United Kingdom,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,..,..
United States,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,..,..
Uruguay,..,..,..,..,..,..,32.5,29.6,24.2,21.0,18.5,13.7,12.4,11.5,,9.7,9.7
Uzbekistan,..,..,..,..,..,..,..,..,..,..,..,..,15.0,14.1,,..,..
Vanuatu,..,..,..,..,..,..,..,..,..,..,12.7,..,..,..,,..,..
"Venezuela, RB",41.6,31.1,41.1,54.0,53.1,42.4,33.1,27.5,27.7,26.4,26.8,27.4,27.2,29.4,,29.5,33.1
Vietnam,..,..,..,..,..,..,..,..,..,..,..,..,17.2,..,,13.5,..
Virgin Islands (U.S.),..,..,..,..,..,..,..,..,..,..,..,..,..,..,,..,..
West Bank and Gaza,..,..,..,..,..,..,..,..,..,..,25.7,25.8,..,..,,..,..
"Yemen, Rep.",..,..,..,..,..,34.8,..,..,..,..,..,..,..,..,,48.6,..
Zambia,..,..,..,..,..,..,..,..,..,..,54.7,..,..,..,,..,54.4
Zimbabwe,..,70.9,..,..,..,..,..,..,..,..,..,..,..,..,,..,..
"Created from: World Development Indicators
Series : Poverty headcount ratio at national poverty lines (% of population)",,,,,,,,,,,,,,,,,
